mouse_idx,acquisition_idx,doi_citations,location,protocole_id,probes,sex,animal_strain,age_days,date_of_birth,weight,slice_position,temperature,procedure_type,procedure_info,anesthesia,seringe_gage,flush,injection_type,mb_dilution,volume_mb_injected,FRC_um,saturation_percent,mean_track_length_frames,mean_velocity_mm_s,quality_grade
mouse_30,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,,unknown,unknown,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,30.81,40.9,34.5,6.89,A
mouse_31,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,28,20/06/2023,"11,3",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,22.75,42.7,38.2,7.01,A
mouse_32,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,unknown,C57bl/6J,,unknown,unknown,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,20.23,44.8,33.1,6.69,A
mouse_33,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,unknown,C57bl/6J,34,19/02/2023,unknown,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,25.39,36.1,35.3,6.64,A
mouse_33,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,unknown,C57bl/6J,34,19/02/2023,unknown,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,33.16,38.8,34.8,6.92,B
mouse_34,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,unknown,C57bl/6J,,unknown,unknown,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,24.46,46.4,34.4,6.79,B
mouse_35,acquisition_1,10.1016/j.ultrasmedbio.2024.05.023,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,48,5/1/2023,"21,3",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:20,4 uL/g,22.13,58.4,44.1,5.94,A
mouse_36,acquisition_1,10.1016/j.ultrasmedbio.2024.05.023,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,48,5/1/2023,24,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:10,4 uL/g,20.18,60.7,35.6,6.79,A
mouse_36,acquisition_2,10.1016/j.ultrasmedbio.2024.05.023,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,48,5/1/2023,24,,,Trig,"On the R-wave -  Labeo Technologies Inc., Quebec, Canada",1.5-2% isoflurane,,,Bolus in the tail vein,1:10,4 uL/g,22.2,56.3,38.2,7.12,A
mouse_37,acquisition_1,10.1016/j.ultrasmedbio.2024.05.023,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,48,5/1/2023,"23,5",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:10,4 uL/g,22.54,60.8,33.9,6.77,A
